_id,No. de proceso,Tipo proceso,Despacho judicial actual,Jurisdicción,Valor pretensión
886,2019-00163,Nulidad y Restablecimiento del Derecho,JUZGADO 014 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 68.046.824
887,2019-00127,Ordinario Laboral,JUZGADO 011 LABORAL DEL CIRCUITO DE CALI,Laboral,$ 50.700.000
888,2019-00085,Reparacion Directa,JUZGADO 002 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 168.050.612
889,2019-00118,Contractual,JUZGADO 002 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 0
890,2018-00291,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 234.372.600
891,2019-00428,Contractual,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 1.004.765.902
892,2019-00077,Nulidad y Restablecimiento del Derecho,JUZGADO 017 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 12.887.000
893,2019-00079,Nulidad y Restablecimiento del Derecho,JUZGADO 011 ADMINISTRATIVO ORAL DEL CIRCUITO DE CALI,Administrativo,$ 18.026.242
894,2019-00236,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 52.830.433
895,2019-00012,Nulidad y Restablecimiento del Derecho,JUZGADO 009 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 5.623.000
896,2019-00048,Nulidad y Restablecimiento del Derecho,JUZGADO 010 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 0
897,2019-00025,Nulidad y Restablecimiento del Derecho,JUZGADO 010 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 39.355.668
898,2019-00038,Reparacion Directa,JUZGADO 009 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 167.982.844
899,2019-00064,Reparacion Directa,JUZGADO 009 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 261.677.364
900,2019-00076,Nulidad y Restablecimiento del Derecho,JUZGADO 009 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 6.443.500
901,2016-00249,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 3.456.214.400
902,2019-00095,Reparacion Directa,JUZGADO 008 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 613.841.344
903,2018-00304,Nulidad y Restablecimiento del Derecho,JUZGADO 017 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 95.361.672
904,2019-00059,Reparacion Directa,JUZGADO 010 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 225.736.437
905,2019-00034,Reparacion Directa,JUZGADO 010 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 489.370.040
906,2019-00412,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 298.913.374.080
907,2019-00096,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 20.580.379
908,2018-00194,Ejecutivo,JUZGADO 005 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 60.016.024
909,2019-00075,Nulidad y Restablecimiento del Derecho,JUZGADO 011 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 4.228.000
910,2019-00002,Reparacion Directa,JUZGADO 014 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 1.113.144.448
911,2019-00149,Nulidad y Restablecimiento del Derecho,JUZGADO 002 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 3.221.750
912,2019-00062,Reparacion Directa,JUZGADO 004 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 116.719.154
913,2019-00505,Ordinario Laboral,JUZGADO 014 LABORAL DEL CIRCUITO DE CALI,Laboral,$ 75.700.728
914,2018-00196,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 34.842.077
915,2019-00173,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 261.438.064
916,2019-00560,Ordinario Laboral,JUZGADO 014 ADMINISTRATIVO DE ORALIDAD DE CALI,Laboral,$ 16.562.320
917,2019-00628,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE CUNDINAMARCA SECCIÓN TERCERA,Administrativo,$ 832.022.730
918,2022-00050,Ejecutivo,JUZGADO 011 CIVIL DEL CIRCUITO DE CALI,Administrativo,$ 52.472.455.168
919,2019-00012,Reparacion Directa,JUZGADO 016 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 1.367.121.280
920,2018-00267,Contractual,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 352.836.907
921,2019-00137,Contractual,JUZGADO 009 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 325.713.569
922,2019-00529,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 0
923,2019-00051,Reparacion Directa,JUZGADO 020 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 197.743.728
924,2018-00058,Reparacion Directa,JUZGADO 007 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 324.502.028
925,2019-00025,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 0
926,2019-00188,Nulidad y Restablecimiento del Derecho,JUZGADO 006 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 8.404.048
927,2019-00232,Acción Popular,TRIBUNAL CONTENCIOSO ADMINISTRATIVO,Administrativo,$ 0
928,2019-00210,Reparacion Directa,JUZGADO 006 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 434.789.984
929,2018-00311,Contractual,JUZGADO 011 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 75.307.636
930,2019-00163,Reparacion Directa,JUZGADO 016 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 226.560.180
931,2017-00239,Nulidad y Restablecimiento del Derecho,JUZGADO 007 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 326.087.840
932,2019-00001,Nulidad y Restablecimiento del Derecho,JUZGADO 017 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 78.124.200
933,2019-00021,Reparacion Directa,JUZGADO 014 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 310.570.880
934,2018-00278,Ordinario Laboral,JUZGADO 006 LABORAL DEL CIRCUITO DE CALI,Laboral,$ 15.624.840
935,2018-00302,Nulidad y Restablecimiento del Derecho,JUZGADO 014 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 84.946.268
936,2018-00287,Reparacion Directa,JUZGADO 019 ADMINISTRATIVO DE CALI,Administrativo,$ 362.246.162
937,2018-00311,Nulidad y Restablecimiento del Derecho,JUZGADO 019 ADMINISTRATIVO DE CALI,Administrativo,$ 92.317.000
938,2018-00266,Reparacion Directa,JUZGADO 014 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 171.272.333
939,2019-00011,Nulidad y Restablecimiento del Derecho,JUZGADO 019 ADMINISTRATIVO DE CALI,Administrativo,$ 6.000.000
940,2019-00160,Reparacion Directa,JUZGADO 007 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 916.889.900
941,2019-00480,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 243.755.693
942,2019-00225,Reparacion Directa,JUZGADO 016 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 360.405.445
943,2018-00310,Nulidad y Restablecimiento del Derecho,JUZGADO 017 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 196.935.162
944,2019-00044,Reparacion Directa,JUZGADO 014 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 605.505.792
945,2019-00210,Nulidad y Restablecimiento del Derecho,JUZGADO 010 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 0
946,2019-00132,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO,Administrativo,$ 271.108.857
947,2019-00260,Reparacion Directa,JUZGADO 019 ADMINISTRATIVO DE CALI,Administrativo,$ 610.898.403
948,2019-00687,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 81.247.188
949,2019-00958,Acción Popular,CONSEJO DE ESTADO SALA PLENA,Administrativo,$ 0
950,2019-00185,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 781.615
951,2019-00121,Ordinario Laboral,JUZGADO 2 LABORAL DEL CIRCUITO DE CALI,Laboral,$ 70.000.000
952,2019-00233,Reparacion Directa,JUZGADO 003 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 890.638.651
953,2019-00209,Ejecutivo,JUZGADO 008 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 4.165.150
954,2019-00069,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 12.887.000
955,2019-00077,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 6.442.500
956,2019-00636,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 83.203.967
957,2019-00091,Reparacion Directa,JUZGADO 009 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 242.368.160
958,2018-00726,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Laboral,$ 212.219.760
959,2018-00316,Nulidad Simple,JUZGADO 017 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 0
960,2019-00073,Reparacion Directa,JUZGADO 010 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 1.321.555.072
961,2019-00083,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 12.887.000
962,2019-00080,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 135.936.108
963,2019-00231,Acción Popular,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 0
964,2019-00548,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 617.173.000
965,2019-00084,Nulidad y Restablecimiento del Derecho,JUZGADO 017 CIVIL DEL CIRCUITO DE CALI,Administrativo,$ 0
966,2019-00099,Reparacion Directa,JUZGADO 021 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 242.444.230
967,2019-00628,Ordinario Laboral,TRIBUNAL SUPERIOR DE CALI SALA LABORAL,Laboral,$ 8.185.489
968,2019-00285,Acción Popular,JUZGADO 002 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 0
969,2019-00133,Reparacion Directa,JUZGADO 009 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 156.248.400
970,2019-00160,Nulidad y Restablecimiento del Derecho,JUZGADO 009 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 7.792.000
971,2019-00104,Nulidad y Restablecimiento del Derecho,JUZGADO 021 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 24.161.395
972,2018-00260,Reparacion Directa,JUZGADO 017 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 808.834.041
973,2018-00191,Nulidad y Restablecimiento del Derecho,JUZGADO 009 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 8.273.520
974,2019-00082,Nulidad y Restablecimiento del Derecho,JUZGADO 009 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 3.580.151
975,2019-00184,Nulidad y Restablecimiento del Derecho,JUZGADO 009 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 220.322.596
976,2019-00168,Nulidad y Restablecimiento del Derecho,JUZGADO 010 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 1.842.792
977,2017-00106,Ejecutivo,JUZGADO 010 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 521.323.460
978,2018-00144,Reparacion Directa,JUZGADO 018 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 47.655.762
979,2019-00217,Ejecutivo,JUZGADO 008 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 5.576.604
980,2018-00318,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 580.469.114
981,2019-00157,Ordinario Laboral,JUZGADO 006 LABORAL DEL CIRCUITO DE CALI,Laboral,$ 50.700.000
982,2019-00118,Ordinario Laboral,TRIBUNAL SUPERIOR DE CALI SALA LABORAL,Laboral,$ 0
983,2019-00007,Ordinario Laboral,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Laboral,$ 22.763.132
984,2019-00506,Acción Popular,JUZGADO 035 CIVIL DEL CIRCUITO DE BOGOTÁ,Administrativo,$ 0
985,2019-00192,Reparacion Directa,JUZGADO 019 ADMINISTRATIVO DE CALI,Administrativo,$ 517.024.477
986,2018-00307,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 0
987,2018-00228,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 54.700.078
988,2018-00299,Reparacion Directa,JUZGADO 017 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 1.022.761.469
989,2019-00244,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 12.414.209
990,2019-00189,Nulidad y Restablecimiento del Derecho,JUZGADO 021 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 50.726.888
991,2018-00228,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 274.011.968
992,2019-00300,Nulidad y Restablecimiento del Derecho,JUZGADO 019 ADMINISTRATIVO DE CALI,Administrativo,$ 41.405.800
993,2019-00210,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 0
994,2018-01068,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 108.919.000
995,2019-00233,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO,Administrativo,$ 0
996,2018-00146,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 82.998.024
997,2019-00070,Nulidad y Restablecimiento del Derecho,JUZGADO 019 ADMINISTRATIVO DE CALI,Administrativo,$ 71.246.235
998,2019-00012,Acción Popular,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 0
999,2019-00090,Reparacion Directa,JUZGADO 019 ADMINISTRATIVO DE CALI,Administrativo,$ 101.760.616
1000,2019-00048,Reparacion Directa,JUZGADO 002 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 365.968.750
1001,2019-00091,Reparacion Directa,JUZGADO 002 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 1.406.263.040
1002,2019-00093,Nulidad y Restablecimiento del Derecho,JUZGADO 002 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 69.567.112
1003,2019-00003,Reparacion Directa,JUZGADO 016 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 236.381.248
1004,2019-00265,Reparacion Directa,JUZGADO 011 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 506.542.560
1005,2019-00061,Reparacion Directa,JUZGADO 014 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 274.502.624
1006,2019-00248,Nulidad Simple,JUZGADO 020 ADMINISTRATIVO DE CALI,Administrativo,$ 0
1007,2019-00254,Ejecutivo,JUZGADO 002 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 28.466.826
1008,2018-00453,Ordinario Laboral,JUZGADO 009 LABORAL DEL CIRCUITO DE CALI,Laboral,$ 15.624.840
1009,2019-00316,Acción Popular,TRIBUNAL ADMINISTRATIVO DEL VALLE,Administrativo,$ 0
1010,2019-00203,Ordinario Laboral,JUZGADO 018 LABORAL DEL CIRCUITO DE CALI,Laboral,$ 80.000.000
1011,2014-00911,Ejecutivo Laboral,JUZGADO 2 LABORAL DEL CIRCUITO DE CALI,Laboral,$ 1.086.647.936
1012,2019-00762,Ordinario Laboral,JUZGADO 020 LABORAL DEL CIRCUITO JUDICIAL DE CALI,Laboral,$ 0
1013,2020-00007,Nulidad y Restablecimiento Tributario,JUZGADO 019 ADMINISTRATIVO DE CALI,Administrativo,$ 576.936
1014,2020-00006,Acción Popular,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 0
1015,2019-00305,Nulidad y Restablecimiento del Derecho,JUZGADO 008 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 1.288.680
1016,2019-00067,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO,Administrativo,$ 0
1017,2018-00244,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 78.813.655
1018,2019-00873,Ordinario Laboral,JUZGADO 012 LABORAL DEL CIRCUITO DE CALI,Laboral,$ 148.684.116
1019,2019-00226,Ejecutivo,JUZGADO 001 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 15.173.320
1020,2020-00015,Acción Popular,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 0
1021,2019-00262,Reparacion Directa,JUZGADO 010 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 816.586.880
1022,2019-00155,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 432.496.800
1023,2019-00233,Ejecutivo,JUZGADO 020 ADMINISTRATIVO MIXTO DEL CIRCUITO DE CALI,Administrativo,$ 13.642.871
1024,2019-00840,Nulidad y Restablecimiento del Derecho,CONSEJO DE ESTADO SALA CONTENCIOSO ADMINISTRATIVA SECCIÓN CUARTA,Administrativo,$ 97.764.194
1025,2019-00156,Reparacion Directa,JUZGADO 014 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 483.803.744
1026,2018-00154,Nulidad y Restablecimiento del Derecho,JUZGADO 014 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 15.142.940
1027,2019-00294,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 1.288.700
1028,2019-00246,Verbal,JUZGADO 005 CIVIL DEL CIRCUITO DE CALI,Civil,$ 310.735.000
1029,2019-00342,Reparacion Directa,JUZGADO 011 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 68.731.460
1030,2019-00047,Reparacion Directa,JUZGADO 016 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 412.442.784
1031,2019-00311,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 38.776.637
1032,2019-00323,Reparacion Directa,JUZGADO 020 ADMINISTRATIVO MIXTO DEL CIRCUITO DE CALI,Administrativo,$ 351.558.900
1033,2019-00272,Nulidad y Restablecimiento del Derecho,JUZGADO 010 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 79.962.100
1034,2019-00309,Reparacion Directa,JUZGADO 002 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 275.176.027
1035,2019-00267,Nulidad y Restablecimiento del Derecho,JUZGADO 021 ADMINISTRATIVO DE CALI,Administrativo,$ 30.000.000
1036,2019-00276,Nulidad y Restablecimiento del Derecho,JUZGADO 009 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 12.352.264
1037,2019-00131,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 239.124.200
1038,2019-00268,Nulidad y Restablecimiento del Derecho,JUZGADO 021 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 24.128.016
1039,2015-00210,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 145.510.000
1040,2019-00213,Reparacion Directa,JUZGADO 010 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 542.001.280
1041,2019-00205,Reparacion Directa,JUZGADO 18 ADMINISTRATIVO DE CALI,Administrativo,$ 1.256.819.979
1042,2019-00279,Nulidad y Restablecimiento del Derecho,JUZGADO 002 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 1.599.995
1043,2019-00340,Nulidad y Restablecimiento del Derecho,JUZGADO 011 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 18.401.356
1044,2018-00211,Ejecutivo,JUZGADO 014 ADMINISTRATIVO DE CALI,Administrativo,$ 3.701.669
1045,2019-00167,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 11.654.000
1046,2019-00037,Reparacion Directa,JUZGADO 005 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 399.433.220
1047,2020-00030,Reparacion Directa,JUZGADO 001 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 273.125.220
1048,2019-00224,Ejecutivo,JUZGADO 014 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 16.691.442
1049,2020-00010,Ejecutivo,JUZGADO 001 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 12.355.177
1050,2018-00277,Nulidad y Restablecimiento del Derecho,JUZGADO 014 ADMINISTRATIVO DE CALI,Administrativo,$ 0
1051,2019-00040,Reparacion Directa,JUZGADO 014 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 1.109.179.904
1052,2019-00516,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 2.052.000.000
1053,2019-00190,Reparacion Directa,JUZGADO 010 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 332.496.800
1054,2020-00018,Ejecutivo,JUZGADO 008 ADMINISTRATIVO DE CALI,Administrativo,$ 8.140.822
1055,2019-00245,Ordinario Laboral,TRIBUNAL SUPERIOR DE CALI SALA LABORAL,Laboral,$ 22.341.368
1056,2019-00064,Reparacion Directa,JUZGADO 014 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 161.068.547
1057,2020-00033,Nulidad y Restablecimiento del Derecho,JUZGADO 019 ADMINISTRATIVO DE CALI,Administrativo,$ 576.936
1058,2019-00221,Reparacion Directa,JUZGADO 18 ADMINISTRATIVO DE CALI,Administrativo,$ 601.145.970
1059,2019-00225,Reparacion Directa,JUZGADO 007 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 1.809.212.800
1060,2019-00282,Reparacion Directa,JUZGADO 007 ADMINISTRATIVO DE CALI,Administrativo,$ 61.983.369
1061,2020-00043,Acción Popular,JUZGADO 010 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 0
1062,2017-00191,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 36.373.428
1063,2020-00005,Reparacion Directa,JUZGADO 008 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 85.508.744
1064,2020-00034,Reparacion Directa,JUZGADO 11 ADMINISTRATIVO DE CALI,Administrativo,$ 414.456.032
1065,2020-00027,Ejecutivo,JUZGADO 019 ADMINISTRATIVO DE CALI,Administrativo,$ 11.367.205
1066,2020-00031,Reparacion Directa,JUZGADO 019 ADMINISTRATIVO DE CALI,Administrativo,$ 248.629.680
1067,2019-00292,Ejecutivo,JUZGADO 011 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 11.407.255
1068,2020-00023,Ejecutivo,JUZGADO 008 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 8.261.077
1069,2020-00025,Ejecutivo,JUZGADO 008 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 12.042.162
1070,2019-00222,Ejecutivo,JUZGADO 008 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 4.354.002
1071,2020-00022,Ejecutivo,JUZGADO 008 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 12.107.993
1072,2020-00033,Ejecutivo,JUZGADO 008 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 10.820.524
1073,2019-00347,Ejecutivo,JUZGADO 008 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 11.387.962
1074,2019-00296,Nulidad y Restablecimiento del Derecho,JUZGADO 008 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 21.680.052
1075,2019-00361,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 426.285.472
1076,2019-00225,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 479.557
1077,2020-00127,Nulidad Electoral,TRIBUNAL CONTENCIOSO ADMINISTRATIVO,Administrativo,$ 0
1078,2019-00047,Nulidad y Restablecimiento del Derecho,JUZGADO 014 ADMINISTRATIVO DE CALI,Administrativo,$ 361.087.626
1079,2019-00002,Reparacion Directa,JUZGADO 18 ADMINISTRATIVO DE CALI,Administrativo,$ 215.444.394
1080,2019-00225,Nulidad y Restablecimiento del Derecho,JUZGADO 18 ADMINISTRATIVO DE CALI,Administrativo,$ 219.020.720
1081,2019-00295,Ejecutivo,JUZGADO 9 ADMINISTRATIVO DE CALI,Administrativo,$ 10.839.126
1082,2019-00293,Ejecutivo,JUZGADO 9 ADMINISTRATIVO DE CALI,Administrativo,$ 9.582.335
